Item,1,2,3,4,5,6,7,8,9,12,16,20
bunched,1,0.8,0.7,0.65,0.6,0.57,0.54,0.52,0.5,0.45,0.41,0.38
on_wall,1,0.85,0.79,0.75,0.73,0.72,0.72,0.71,0.7,0.7,0.7,0.7
under_ceiling,0.95,0.81,0.72,0.68,0.66,0.64,0.63,0.62,0.61,0.61,0.61,0.61
singlelayer_on_perftray,1,0.88,0.82,0.77,0.75,0.73,0.73,0.72,0.72,0.72,0.72,0.72
singlelayer_on_ladder,1,0.87,0.82,0.8,0.8,0.79,0.79,0.78,0.78,0.78,0.78,0.78
