C1,C2,C3,C4
1.5,23,19,21
2.5,23,19,21
4,23,19,21
6,23,19,21
10,23,19,21
16,23,19,21
25,23,19,21
35,23,19,21
50,23,19,21
70,23,19,21
95,23,19,21
120,23,19,21
150,23,19,21
185,23,19,21
240,23,19,21
