MatlSpec,St,Sy,Tmax,Chart,-30,40,65,100,125,150,175,200,225,250,275,300,325,350,375,400.0,425.0,450.0,475.0,500.0,525.0,550.0,575.0,600,625,650,675,700,725,750,775,800,825
SA285-GrC,380,205,538.0,CS-2,138.0,138.0,130.0,126.0,124.0,122.0,120.0,118.0,116.0,113.0,111.0,108.0,105.0,101.0,98.3,89.0,75.3,62.1,45.0,31.7,21.4,14.2,,,,,,,,,,,
SA516-Gr55,380,205,538.0,CS-2,138.0,138.0,130.0,126.0,124.0,122.0,120.0,118.0,116.0,113.0,111.0,108.0,105.0,101.0,98.3,89.0,75.3,62.1,45.0,31.7,21.4,14.2,,,,,,,,,,,
SA516-Gr60,415,220,538.0,CS-2,147.0,147.0,138.0,134.0,132.0,130.0,128.0,126.0,124.0,121.0,118.0,115.0,111.0,108.0,105.0,95.1,79.5,62.6,45.0,31.7,21.4,14.2,,,,,,,,,,,
SA516-Gr70,485,260,538.0,CS-2,175.0,175.0,164.0,159.0,157.0,154.0,152.0,150.0,147.0,144.0,140.0,136.0,132.0,128.0,122.0,101.0,83.8,66.8,50.3,33.2,21.4,14.2,,,,,,,,,,,
SA240-Tp304L,485,170,,HA-3,115.0,115.0,115.0,115.0,115.0,115.0,112.5,110.0,106.5,103.0,100.4,97.7,95.7,94.1,92.6,92.3,90.0,88.7,86.6,72.5,60.2,49.5,40.4,32.9,26.7,22.0,,,,,,,
SA240-Tp316L,485,170,,HA-4,115.0,115.0,115.0,115.0,115.0,115.0,112.0,109.0,106.0,103.0,100.5,98.0,95.7,94.1,92.8,90.9,89.0,87.8,86.6,,,,,,,,,,,,,,
