MatlSpec,Density,St,Sy,Tmax,Chart,-30,40,65,100,125,150,200,250,300,325,350,375,400.0,425.0,450.0,475.0,500.0,525.0,550.0,575.0,600,625,650,675,700,725,750,775,800,825
SA285-GrC,7800,380,205,482.0,CS-2,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,,,,,,,,,,,,,
SA516-Gr55,7800,380,205,538.0,CS-2,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,
SA516-Gr60,7800,415,220,538.0,CS-2,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,115.0,112.0,108.0,104.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,
SA516-Gr70,7800,485,260,538.0,CS-2,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,136.0,132.0,128.0,123.0,101.0,83.8,67.1,51.0,33.6,21.3,12.9,,,,,,,,,,,
SA240-Tp304L,8000,485,170,649,HA-3,115.0,115.0,105.0,97.0,92.3,88.1,81.2,76.0,72.3,70.9,69.7,68.6,67.6,66.7,65.7,64.6,63.4,60.2,49.5,40.4,32.9,26.7,22.0,,,,,,,
SA240-Tp316L,8000,485,170,454,HA-4,115.0,115.0,106.0,96.3,91.3,87.4,81.2,76.0,72.5,71.2,70.0,68.8,67.5,66.3,65.0,63.8,,,,,,,,,,,,,,
