Model,Suction,Discharge,Dia,Qbep,Hbep
150×100 R2D 45,150,100,450,0.06313,315.119
200×150 R2D 44,200,150,440,0.09508,292.615
250×150 R2D 45,250,150,450,0.17934,277.984
