Model,Suction,Discharge,Dia,Qbep,Hbep
80×50 R2 33,80,50,330,0.01316,183.475
100×80 R2 36,100,80,360,0.03757,212.159
100×80 R2 40,100,80,400,0.04625,274.104
100×80 R2 45,100,80,450,0.03602,363.726
150×100 R2 42,150,100,420,0.06332,291.758
