Model,Suction,Discharge,Dia,Qbep,Hbep
400×300 KS80,400,300,800,0.4196,71
400×350 KS63,400,350,630,0.3991,47
500×350 KS85,500,350,850,0.5809,90
500×400 KS63,500,400,630,0.5691,34
500×400 KS71,500,400,710,0.5812,58
600×400 KS95,600,400,950,0.816,112
600×400 KS112,600,400,1120,0.8895,162
600×450 KS71,600,450,710,0.8052,43
600×450 KS80,600,450,800,0.8105,73
700×450 KS112,700,450,1120,1.1627,143
700×500 KS80,700,500,800,1.1066,55
700×500 KS90,700,500,900,1.09,94
