Model,kW,Suction,Discharge,Dia,Qbep,Hbep
50x40 UCW 13,22,50,40,130,0.003562,5
50x40 UCW 16,22,50,40,160,0.004769,7
50x40 UCW 20,30,50,40,200,0.004979,11
50x40 UCW 25,55,50,40,250,0.005416,18
50x40 UCW 29,55,50,40,290,0.005214,23
80x50 UCW 13,22,80,50,130,0.007368,5
80x50 UCW 16,22,80,50,160,0.008931,8
80x50 UCW 20,30,80,50,200,0.009234,12
80x50 UCW 25,55,80,50,250,0.009359,18
80x50 UCW 32,110,80,50,320,0.008853,29
100x80 UCW 13,37,100,80,130,0.013795,5
100x80 UCW 16,37,100,80,160,0.016392,8
100x80 UCW 20,45,100,80,200,0.017989,12
100x80 UCW 25,90,100,80,250,0.017359,20
100x80 UCW 32,132,100,80,320,0.020812,27
150x100 UCW 16,55,150,100,160,0.028323,8
150x100 UCW 20,132,150,100,200,0.029896,13
150x100 UCW 25,132,150,100,250,0.031849,20
150x100 UCW 32,132,150,100,320,0.041369,28
150x100 UCW 40,132,150,100,400,0.067667,48
150x100 UCW 50,132,150,100,500,0.075776,75
200x200 UCW 20,55,200,200,200,0.135710,14
200x200 UCW 25,75,200,200,250,0.129555,20
200x150 UCW 20,132,200,150,200,0.059888,10
200x150 UCW 25,132,200,150,250,0.057847,19
200x150 UCW 32,132,200,150,320,0.115424,32
200x150 UCW 40,132,200,150,400,0.144029,44
200x150 UCW 50,132,200,150,500,0.143218,74
250x250 UCW 25,132,250,250,250,0.287139,20
250x200 UCW 32,132,250,200,320,0.236285,33
250x200 UCW 40,132,250,200,400,0.261300,37
250x200 UCW 50,110,250,200,500,0.265289,70
250x150 UCW 57,140,250,150,570,0.187719,93
250x150 UCW 70,280,250,150,700,0.212195,136
300x250 UCW 50,280,300,250,500,0.371591,59
300x250 UCW 60,450,300,250,600,0.384314,94
300x200 UCW 65,350,300,200,650,0.282799,116
