Model,Suction,Discharge,Dia,Qbep,Hbep
150x100 KS32,150,100,320,0.0769,110
150x100 KS40,150,100,400,0.075,185
200x150 KS32,200,150,320,0.1139,116
200x150 KS40,200,150,400,0.1319,185
250x200 KS32,250,200,320,0.1806,116
250x200 KS40,250,200,400,0.22,180
250x200 KS48,250,200,480,0.2139,250
300x200 KS50,300,200,500,0.2417,318
350x250 KS40,350,250,400,0.3056,150
350x250 KS50,350,250,500,0.4111,275
350x250 KS55,350,250,550,0.4528,340
