T,h
93.04,139.26
127.23,199.31
167.73,270.63
214.52,356.97
264.92,462.11
314.41,559.73
356.71,649.85
395.41,724.94
447.60,837.60
482.70,920.24
525.45,1012.24
565.50,1106.14
592.95,1166.23
621.75,1231.95
648.75,1293.93
675.75,1357.78
704.55,1417.86
732.00,1481.71
761.25,1547.44
814.80,1673.26
870.60,1800.96
