T,h
92.57,63.99
148.80,120.17
231.57,206.34
288.25,270.05
342.68,324.36
398.46,384.31
454.24,444.26
509.13,513.62
564.46,577.34
620.24,637.29
675.57,697.24
732.25,764.71
787.58,834.08
843.82,905.32
870.81,944.70
