T,h
93.013,47.05
147.892,97.59
204.117,140.60
259.445,187.38
315.222,234.16
370.548,277.18
425.427,327.72
481.655,378.26
536.981,419.39
592.757,464.29
648.534,511.07
705.211,559.72
759.64,610.27
814.966,651.40
869.843,696.30
