T,0.01,0.025,0.05,0.075,0.1,0.25,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.75,2,2.5,3,4,5,7.5,10
0.99,-0.0008,-0.002,-0.0039,-0.0059,-0.0079,-0.0203,-0.0429,-0.0531,-0.0646,-0.0796,-0.1143,-0.068,-0.0641,-0.0646,-0.0665,-0.0688,-0.0715,-0.0787,-0.0861,-0.1013,-0.1162,-0.1451,-0.1728,-0.2381,-0.2989
1,-0.0007,-0.0017,-0.0034,-0.0052,-0.0069,-0.0176,-0.036,-0.0435,-0.0511,-0.0588,-0.0665,-0.0789,-0.0607,-0.0609,-0.0628,-0.0652,-0.0678,-0.075,-0.0824,-0.0972,-0.1118,-0.1401,-0.1672,-0.2309,-0.2902
1.01,-0.0006,-0.0015,-0.003,-0.0045,-0.006,-0.0151,-0.0297,-0.0351,-0.0398,-0.0429,-0.0421,-0.0223,0.0082,-0.0473,-0.0545,-0.0586,-0.0621,-0.0702,-0.0778,-0.0927,-0.1072,-0.1349,-0.1615,-0.2237,-0.2816
1.02,-0.0005,-0.0013,-0.0026,-0.0039,-0.0051,-0.0127,-0.0241,-0.0277,-0.0301,-0.0303,-0.0256,-0.0062,0.0895,0.0227,-0.031,-0.0452,-0.0524,-0.0635,-0.0722,-0.0876,-0.1021,-0.1295,-0.1556,-0.2165,-0.2731
1.03,-0.0004,-0.0011,-0.0022,-0.0033,-0.0043,-0.0105,-0.019,-0.0211,-0.0217,-0.0198,-0.013,0.0053,0.0588,0.1159,0.0318,-0.0152,-0.0343,-0.054,-0.0649,-0.0818,-0.0966,-0.1239,-0.1495,-0.2092,-0.2646
1.05,-0.0003,-0.0007,-0.0015,-0.0022,-0.0029,-0.0066,-0.01,-0.0097,-0.0078,-0.0032,0.0056,0.022,0.0528,0.1059,0.1357,0.0951,0.0451,-0.0195,-0.0432,-0.0671,-0.0838,-0.1118,-0.137,-0.1946,-0.2476
1.1,0,0,0,0.0001,0.0001,0.0012,0.0066,0.0106,0.0161,0.0236,0.0338,0.0476,0.0659,0.0897,0.1185,0.1468,0.163,0.13,0.0698,-0.0033,-0.0373,-0.0751,-0.1021,-0.1572,-0.2056
1.15,0.0002,0.0005,0.0011,0.0017,0.0023,0.0068,0.0177,0.0237,0.0309,0.0396,0.05,0.0625,0.0772,0.0943,0.1137,0.1345,0.1548,0.1835,0.1667,0.0906,0.0332,-0.0272,-0.0611,-0.1185,-0.1642
1.2,0.0004,0.0009,0.0019,0.0029,0.004,0.0108,0.0254,0.0326,0.0407,0.0499,0.0603,0.0719,0.0848,0.0991,0.1146,0.131,0.1477,0.184,0.199,0.1651,0.1095,0.0304,-0.0141,-0.0782,-0.1231
1.3,0.0006,0.0015,0.003,0.0045,0.0061,0.0159,0.0345,0.0429,0.0518,0.0612,0.0713,0.0819,0.0931,0.1048,0.1169,0.1294,0.142,0.1729,0.1991,0.2223,0.2079,0.1435,0.0875,0.0053,-0.0423
1.4,0.0007,0.0018,0.0036,0.0054,0.0072,0.0185,0.039,0.0477,0.0567,0.0661,0.0757,0.0857,0.0959,0.1063,0.1169,0.1276,0.1383,0.1648,0.1894,0.2259,0.2397,0.2171,0.1737,0.087,0.035
