T,0.01,0.025,0.05,0.075,0.1,0.25,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.75,2,2.5,3,4,5,7.5,10
0.3,0.0029,0.0072,0.0145,0.0217,0.029,0.0724,0.1447,0.1737,0.2026,0.2315,0.2604,0.2892,0.3181,0.347,0.3758,0.4047,0.4335,0.5055,0.5775,0.7213,0.8648,1.1512,1.4366,2.1463,2.8507
0.35,0.0026,0.0065,0.013,0.0196,0.0261,0.0652,0.1303,0.1564,0.1824,0.2084,0.2344,0.2604,0.2863,0.3123,0.3382,0.3642,0.3901,0.4549,0.5195,0.6487,0.7775,1.0344,1.2902,1.9251,2.5539
0.4,0.0024,0.006,0.0119,0.0179,0.0239,0.0596,0.1191,0.1429,0.1667,0.1904,0.2142,0.2379,0.2616,0.2853,0.309,0.3327,0.3563,0.4154,0.4744,0.5921,0.7095,0.9433,1.1758,1.7519,2.3211
0.45,0.0022,0.0055,0.011,0.0166,0.0221,0.0552,0.1102,0.1322,0.1542,0.1762,0.1981,0.22,0.242,0.2638,0.2857,0.3076,0.3294,0.384,0.4384,0.547,0.6551,0.8704,1.0841,1.6128,2.1338
0.5,0.0021,0.0052,0.0103,0.0155,0.0207,0.0516,0.1031,0.1236,0.1441,0.1647,0.1851,0.2056,0.2261,0.2465,0.2669,0.2873,0.3077,0.3585,0.4092,0.5103,0.611,0.811,1.0094,1.4989,1.9801
0.55,0.9804,0.0049,0.0098,0.0146,0.0195,0.0487,0.0972,0.1166,0.136,0.1553,0.1746,0.1939,0.2131,0.2323,0.2515,0.2707,0.2899,0.3377,0.3853,0.4803,0.5747,0.762,0.9475,1.4042,1.852
0.6,0.9849,0.9614,0.0093,0.0139,0.0186,0.0463,0.0925,0.1109,0.1293,0.1476,0.166,0.1842,0.2025,0.2207,0.239,0.2571,0.2753,0.3206,0.3657,0.4554,0.5446,0.7213,0.8959,1.3247,1.744
0.65,0.9881,0.9697,0.9377,0.0134,0.0178,0.0445,0.0887,0.1063,0.1239,0.1415,0.159,0.1765,0.1939,0.2113,0.2287,0.2461,0.2634,0.3065,0.3495,0.4349,0.5197,0.6872,0.8526,1.2573,1.6519
0.7,0.9904,0.9757,0.9504,0.9238,0.8958,0.043,0.0857,0.1027,0.1197,0.1366,0.1535,0.1703,0.1871,0.2038,0.2205,0.2372,0.2538,0.2952,0.3364,0.4181,0.4991,0.6588,0.8161,1.1999,1.5729
